Time,Month,Partner,OrderValue,Commission,Status,LastChanged
3/15/20 10:13:34 PM UTC+3,3,CB,3115,186.9,Approved,5/8/2020 8:40
3/15/20 10:18:55 PM UTC+3,3,CB,2975,178.5,Deleted,5/25/2020 15:37
3/15/20 10:23:37 PM UTC+3,3,Other,1299,79.24,Approved,5/8/2020 8:39
3/15/20 10:24:53 PM UTC+3,3,CB,1295,77.7,Deleted,5/8/2020 7:51
3/15/20 10:31:05 PM UTC+3,3,KT,3850,231,Approved,5/8/2020 8:43
3/15/20 10:38:13 PM UTC+3,3,KT,18199,1091.94,Deleted,5/25/2020 15:37
3/15/20 10:53:26 PM UTC+3,3,CB,1960,117.6,Deleted,5/25/2020 15:37
3/15/20 11:00:56 PM UTC+3,3,KT,1478,88.68,Approved,5/8/2020 8:42
3/16/20 1:57:11 AM UTC+3,3,CB,3338,200.28,Deleted,5/25/2020 15:37
3/16/20 3:37:51 AM UTC+3,3,EP,3746,228.51,Approved,5/8/2020 8:40
3/16/20 4:56:56 AM UTC+3,3,EP,12749,777.69,Deleted,5/8/2020 7:51
3/16/20 5:01:27 AM UTC+3,3,SK,630,37.8,Approved,5/8/2020 8:47
3/16/20 5:42:50 AM UTC+3,3,SK,175,10.5,Deleted,5/25/2020 15:37
3/16/20 5:47:32 AM UTC+3,3,CB,3011,180.66,Approved,5/8/2020 8:43
3/16/20 5:52:50 AM UTC+3,3,C4B,9898,593.88,Deleted,5/25/2020 15:37
3/16/20 6:13:11 AM UTC+3,3,C4B,4399,263.94,Approved,5/8/2020 8:44
3/16/20 6:13:33 AM UTC+3,3,EP,4279,261.02,Deleted,5/25/2020 15:37
3/16/20 6:15:38 AM UTC+3,3,CB,3504,210.24,Deleted,5/25/2020 15:37
3/16/20 6:53:16 AM UTC+3,3,C4B,1120,67.2,Approved,5/8/2020 8:39
3/16/20 6:59:35 AM UTC+3,3,CB,25200,1512,Approved,5/8/2020 8:39
3/16/20 7:02:54 AM UTC+3,3,EP,19250,1174.25,Approved,5/8/2020 8:43
